,EVT_Name,Burn_Value,n
1,Boreal-Laurentian-Acadian Acidic Basin Fen,10,1
2,Boreal-Laurentian-Acadian Acidic Basin Fen,14,2
3,Boreal-Laurentian-Acadian Acidic Basin Fen,16,7
4,Boreal-Laurentian-Acadian Acidic Basin Fen,17,3
5,Boreal-Laurentian-Acadian Acidic Basin Fen,18,4
6,Boreal-Laurentian-Acadian Acidic Basin Fen,19,5
7,Boreal-Laurentian-Acadian Acidic Basin Fen,20,19
8,Boreal-Laurentian-Acadian Acidic Basin Fen,21,22
9,Boreal-Laurentian-Acadian Acidic Basin Fen,22,7
10,Boreal-Laurentian-Acadian Acidic Basin Fen,23,11
11,Boreal-Laurentian-Acadian Acidic Basin Fen,24,4
12,Boreal-Laurentian-Acadian Acidic Basin Fen,25,7
13,Boreal-Laurentian-Acadian Acidic Basin Fen,26,8
14,Boreal-Laurentian-Acadian Acidic Basin Fen,27,8
15,Boreal-Laurentian-Acadian Acidic Basin Fen,28,4
16,Boreal-Laurentian-Acadian Acidic Basin Fen,29,2
17,Boreal-Laurentian-Acadian Acidic Basin Fen,30,4
18,Boreal-Laurentian-Acadian Acidic Basin Fen,31,7
19,Boreal-Laurentian-Acadian Acidic Basin Fen,32,5
20,Boreal-Laurentian-Acadian Acidic Basin Fen,33,3
21,Boreal-Laurentian-Acadian Acidic Basin Fen,34,3
22,Boreal-Laurentian-Acadian Acidic Basin Fen,36,1
23,Boreal-Laurentian-Acadian Acidic Basin Fen,41,1
24,Boreal-Laurentian-Acadian Acidic Basin Fen,52,1
25,Boreal-Laurentian-Acadian Acidic Basin Fen,NA,1313
26,Boreal-Laurentian Bog,7,1
27,Boreal-Laurentian Bog,8,1
28,Boreal-Laurentian Bog,9,2
29,Boreal-Laurentian Bog,10,2
30,Boreal-Laurentian Bog,11,4
31,Boreal-Laurentian Bog,12,3
32,Boreal-Laurentian Bog,13,2
33,Boreal-Laurentian Bog,14,4
34,Boreal-Laurentian Bog,15,55
35,Boreal-Laurentian Bog,16,78
36,Boreal-Laurentian Bog,17,177
37,Boreal-Laurentian Bog,18,111
38,Boreal-Laurentian Bog,19,109
39,Boreal-Laurentian Bog,20,49
40,Boreal-Laurentian Bog,21,55
41,Boreal-Laurentian Bog,22,39
42,Boreal-Laurentian Bog,23,34
43,Boreal-Laurentian Bog,24,43
44,Boreal-Laurentian Bog,25,29
45,Boreal-Laurentian Bog,26,33
46,Boreal-Laurentian Bog,27,32
47,Boreal-Laurentian Bog,28,31
48,Boreal-Laurentian Bog,29,36
49,Boreal-Laurentian Bog,30,38
50,Boreal-Laurentian Bog,31,30
