,Burn_Value,EVT_Value,freq,EVT_Name,EVT_PHYS,EVT_Fuel_N,acres
1,1,7193,2,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.000494193
2,1,7195,1,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.000247097
3,1,7196,1,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.000247097
4,1,7302,10,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,0.002470966
5,1,7362,1,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.000247097
6,1,7366,1,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,0.000247097
7,1,7906,1,Eastern Cool Temperate Urban Evergreen Forest,Developed,Dtc Urban Evergreen Forest,0.000247097
8,1,9089,3,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,0.00074129
9,1,9112,7,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,0.001729676
10,1,9817,5,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.001235483
11,2,7241,5,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.001235483
12,2,7301,5,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Tr Boreal Aspen-Birch Forest,0.001235483
13,2,7302,30,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,0.007412898
14,2,7362,2,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.000494193
15,2,7366,9,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,0.00222387
16,2,7906,4,Eastern Cool Temperate Urban Evergreen Forest,Developed,Dtc Urban Evergreen Forest,0.000988386
17,2,9089,7,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,0.001729676
18,2,9112,9,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,0.00222387
19,2,9312,2,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.000494193
